Node,EDDBM,Optimal
1696,0.0000011125,0.0000525332
1713,0.0008095243,0.0003394380
1745,0.0000006809,0.0000869105
1773,0.0000007354,0.0000601116
1803,0.0000011125,0.0000578202
1843,0.0003026259,0.0001483068
1894,0.0000014142,0.0000581719
1911,0.0000005562,0.0000312404
1937,0.0000005562,0.0000407515
1979,0.0000007071,0.0000167078
1996,0.0000008755,0.0000584648
1997,0.0000011125,0.0000273915
2044,0.0000011491,0.0000227428
2046,0.0000004838,0.0000095362
2076,0.0004497357,0.0002993477
2145,0.0000011125,0.0002261157
2156,0.0000026264,0.0001200723
2160,0.0000091925,0.0001258775
2168,0.0000015321,0.0000779201
2178,0.0000011125,0.0000491279
2253,0.0000005562,0.0000533291
2257,0.0000007993,0.0000312961
2268,0.0000036770,0.0001598582
2271,0.0000061283,0.0000912997
2309,0.0000011125,0.0000273719
2327,0.0000006340,0.0001061196
2356,0.0016190485,0.0006783468
2423,0.0000030642,0.0000349675
2434,0.0000003708,0.0000189670
2445,0.0000005562,0.0000143218
2452,0.0000018385,0.0000626007
2509,0.0000030642,0.0001784307
2538,0.0000011125,0.0000433251
2549,0.0000002388,0.0000273786
2603,0.0000091925,0.0002131729
2607,0.0000005562,0.0000139744
2626,0.0000001391,0.0000073963
2629,0.0000005562,0.0000126762
2665,0.0000000461,0.0000072116
2678,0.0000015321,0.0000315023
2687,0.0000005562,0.0000327312
2716,0.0000001589,0.0000101483
2746,0.0000011125,0.0000186001
2765,0.0000005562,0.0000331150
2794,0.0035978857,0.0011508725
2812,0.0000011125,0.0000238625
2823,0.0000091925,0.0000568126
2826,0.0000003708,0.0000063973
2828,0.0000001571,0.0000316946
2851,0.0000003014,0.0000298425
2882,0.0000002327,0.0000280966
2907,0.0000001179,0.0000113502
2951,0.0000002270,0.0000370288
2996,0.0000016714,0.0000437896
3004,0.0000061283,0.0001106988
3043,0.0000011125,0.0000108623
3045,0.0000045962,0.0000974899
3049,0.0000061283,0.0002448923
3051,0.0000011125,0.0000251057
3055,0.0000011125,0.0000251057
3063,0.0000011125,0.0000265139
3076,0.0000011125,0.0000253389
3112,0.0000011125,0.0000125020
3147,0.0000015321,0.0000537063
3156,0.0000061283,0.0000830703
3180,0.0000011125,0.0000211251
3205,0.0000011125,0.0000174228
3232,0.0000091925,0.0001836142
3257,0.0000011125,0.0000272876
3265,0.0000091925,0.0000784811
3331,0.0000008357,0.0000236136
3332,0.0000011125,0.0000175403
3337,0.0000002781,0.0000152363
3338,0.0000004484,0.0000364160
3372,0.0000011125,0.0000335127
3423,0.0000183849,0.0001659934
3463,0.0000011125,0.0000279537
3470,0.0000091925,0.0001840244
3501,0.0000011125,0.0000171977
3540,0.0000183849,0.0002790117
3561,0.0000030642,0.0001375498
3580,0.0000016714,0.0000374635
3595,0.0000011125,0.0000144254
3602,0.0000011125,0.0000144254
3615,0.0000091925,0.0000747901
3618,0.0000183849,0.0002167332
3627,0.0000091925,0.0002412037
3651,0.0000005562,0.0000144155
3670,0.0000036770,0.0000488528
3683,0.0000011125,0.0000205837
3686,0.0000011125,0.0000205837
3692,0.0000183849,0.0006385451
3726,0.0000026264,0.0001017845
3772,0.0000183849,0.0001383080
3776,0.0000022981,0.0001022297
3797,0.0000183849,0.0003728292
3810,0.0000061283,0.0001157135
3822,0.0000091925,0.0002948643
3854,0.0000030642,0.0000523245
3871,0.0000022981,0.0001505758
3939,0.0000183849,0.0001100373
3959,0.0000026264,0.0000781056
4009,0.0000091925,0.0001038842
4014,0.0000011125,0.0000156096
4087,0.0000183849,0.0008560078
4127,0.0000183849,0.0002490262
4152,0.0000045962,0.0000469093
4168,0.0000026264,0.0001038571
4171,0.0000183849,0.0002801889
4194,0.0000061283,0.0001412187
4208,0.0000045962,0.0000898077
4239,0.0001950661,0.0001694134
4266,0.0000061283,0.0001033413
4314,0.0000091925,0.0001692629
4339,0.0000183849,0.0001641915
4368,0.0000183849,0.0001786656
4377,0.0000009192,0.0000339419
4381,0.0000036770,0.0000980198
4454,0.0020238107,0.0010341573
4511,0.0000183849,0.0001338959
4538,0.0000026264,0.0000435214
4539,0.0000183849,0.0002143346
4543,0.0000183849,0.0002143346
4568,0.0000005407,0.0000314470
4600,0.0000091925,0.0002141169
4602,0.0000183849,0.0001478258
4608,0.0000020428,0.0001032491
4630,0.0000045962,0.0001526333
4668,0.0000183849,0.0000619147
4701,0.0000183849,0.0001997245
4704,0.0000011125,0.0000479794
4751,0.0000091925,0.0001399026
4767,0.0000183849,0.0001409773
4772,0.0000091925,0.0001134600
4797,0.0000091925,0.0000789160
4815,0.0000183849,0.0002290089
4817,0.0000004714,0.0000474231
4877,0.0000045962,0.0001305481
4923,0.0000036770,0.0001260332
4924,0.0000183849,0.0001416409
4929,0.0000026264,0.0001572758
4959,0.0000183849,0.0001449620
4968,0.0000183849,0.0002518373
4971,0.0000011125,0.0000125246
5109,0.0000183849,0.0000858765
5125,0.0000061283,0.0001047031
5130,0.0000183849,0.0000858765
5149,0.0000091925,0.0001526529
5152,0.0000036770,0.0001007437
5159,0.0000091925,0.0000274201
5166,0.0000091925,0.0000376482
5201,0.0000896980,0.0001298958
5205,0.0000183849,0.0001423123
5228,0.0000183849,0.0001668777
5240,0.0000007071,0.0000465109
5259,0.0000183849,0.0001005411
5288,0.0000091925,0.0004476475
5307,0.0000016714,0.0000790391
5356,0.0000014142,0.0000579689
5377,0.0000091925,0.0003842612
5385,0.0000091925,0.0000999004
5397,0.0000091925,0.0000819655
5475,0.0000183849,0.0001456104
5479,0.0000007071,0.0001002958
5517,0.0000183849,0.0000806207
5520,0.0000061283,0.0000390397
5533,0.0000183849,0.0001448879
5553,0.0000183849,0.0001040505
5611,0.0000002781,0.0000084118
5622,0.0000000000,0.0000000000
5633,0.0000183849,0.0000822579
5644,0.0000011125,0.0000085145
5649,0.0000005562,0.0000083936
5657,0.0000005562,0.0000059720
5708,0.0000003708,0.0000116779
5727,0.0000001589,0.0000052007
5733,0.0000011125,0.0000145438
5767,0.0000183849,0.0000718852
5786,0.0000011125,0.0000098151
5814,0.0000000000,0.0000000000
5827,0.0000011125,0.0000158064
5852,0.0000011125,0.0000151870
5870,0.0000091925,0.0001020307
5879,0.0000045962,0.0001305906
5890,0.0000011125,0.0000122764
5994,0.0000003708,0.0000087765
6061,0.0000091925,0.0001307402
6069,0.0000011125,0.0000051557
6103,0.0000183849,0.0001536912
6106,0.0019047630,0.0011582853
6135,0.0000011125,0.0000126878
6148,0.0000011125,0.0000125735
6192,0.0000011125,0.0000099355
6203,0.0000032658,0.0000485535
6212,0.0000011125,0.0000148021
6213,0.0000183849,0.0003171038
6243,0.0000008357,0.0001531758
6249,0.0000183849,0.0001904412
6297,0.0000091925,0.0000669452
6337,0.0000183849,0.0000652476
6356,0.0000183849,0.0001600780
6364,0.0000026264,0.0001166278
6367,0.0017989428,0.0011500702
6410,0.0000008755,0.0001051463
6431,0.0000183849,0.0001641610
6446,0.0000183849,0.0002020083
6453,0.0000183849,0.0003779281
6461,0.0000183849,0.0000482224
6462,0.0000061283,0.0000802586
6486,0.0000011125,0.0000118446
6502,0.0000183849,0.0001161807
6579,0.0000183849,0.0001509330
6583,0.0000015321,0.0000984376
6584,0.0000061283,0.0001962877
6702,0.0010445475,0.0009190294
6704,0.0000018385,0.0001651815
6709,0.0000183849,0.0003046338
6780,0.0000091925,0.0004132541
6856,0.0000183849,0.0002067319
6912,0.0000183849,0.0002368724
6939,0.0000183849,0.0003512995
6953,0.0000183849,0.0002392649
6962,0.0000183849,0.0001641610
7003,0.0000183849,0.0000774955
7016,0.0000091925,0.0000577518
7019,0.0000014142,0.0001338154
7028,0.0000091925,0.0012506650
7058,0.0000183849,0.0004471598
7059,0.0000183849,0.0004471598
7089,0.0000183849,0.0001321887
7093,0.0000183849,0.0003627279
